epoch,train_loss,train_acc,val_acc
1,4.4856075604756676,0.016666666666666666,0.027777777777777776
2,3.9263314247131347,0.04583333333333333,0.06944444444444445
3,3.6567689259847005,0.10833333333333334,0.1111111111111111
4,3.272607119878133,0.18333333333333332,0.125
5,3.1280480225880942,0.19166666666666668,0.16666666666666666
6,2.633624521891276,0.35,0.25
7,2.418585761388143,0.38333333333333336,0.19444444444444445
8,2.2444438139597573,0.4375,0.20833333333333334
9,1.921059528986613,0.5375,0.2638888888888889
10,1.7329614162445068,0.5666666666666667,0.3055555555555556
11,1.5720590273539226,0.6291666666666667,0.3333333333333333
12,1.3566515127817789,0.6666666666666666,0.4305555555555556
13,1.2271610379219056,0.7166666666666667,0.4583333333333333
14,0.9269668499628703,0.825,0.5
15,0.86365833679835,0.8458333333333333,0.5555555555555556
16,0.7330492933591207,0.8458333333333333,0.5833333333333334
17,0.6972589711348216,0.8458333333333333,0.6666666666666666
18,0.5348899304866791,0.8916666666666667,0.75
19,0.4914368132750193,0.9083333333333333,0.6527777777777778
20,0.5431752761205038,0.8958333333333334,0.7361111111111112
21,0.43320236007372537,0.925,0.7638888888888888
22,0.3121291955312093,0.9666666666666667,0.7916666666666666
23,0.29400063554445904,0.9666666666666667,0.7638888888888888
24,0.29590748449166615,0.9541666666666667,0.8055555555555556
25,0.23090342531601588,0.9666666666666667,0.8055555555555556
26,0.22656574447949726,0.9625,0.8611111111111112
27,0.21229787021875382,0.975,0.8611111111111112
28,0.184588323533535,0.9791666666666666,0.8472222222222222
29,0.23378000259399415,0.9583333333333334,0.8472222222222222
30,0.13960818499326705,0.9875,0.8333333333333334
31,0.13326509098211925,0.9875,0.8611111111111112
32,0.15942309747139613,0.9666666666666667,0.8611111111111112
33,0.14734910279512406,0.9833333333333333,0.8472222222222222
34,0.13360348443190256,0.975,0.8611111111111112
35,0.12850089396039646,0.9875,0.7916666666666666
36,0.1239625133574009,0.9791666666666666,0.8611111111111112
37,0.13573661198218664,0.975,0.8194444444444444
38,0.14716561175882817,0.9708333333333333,0.8611111111111112
39,0.10349719561636447,0.9791666666666666,0.8611111111111112
40,0.10566485598683358,0.9791666666666666,0.8611111111111112
41,0.08238168011109034,0.9875,0.8888888888888888
42,0.06772256729503473,0.9958333333333333,0.8888888888888888
43,0.10772146011392275,0.9791666666666666,0.8611111111111112
44,0.07468632025023302,0.9875,0.8611111111111112
45,0.07975738768776258,0.9791666666666666,0.8611111111111112
46,0.05819291025400162,0.9916666666666667,0.8888888888888888
47,0.09188296937694153,0.9833333333333333,0.9027777777777778
48,0.09475020977358023,0.9791666666666666,0.8888888888888888
49,0.038067376551528774,1.0,0.8888888888888888
50,0.09303509443998337,0.9875,0.9305555555555556
51,0.07438713957866033,0.9833333333333333,0.9722222222222222
52,0.052367333819468814,0.9916666666666667,0.9166666666666666
53,0.06033042781054974,0.9916666666666667,0.9027777777777778
54,0.04424408034731944,0.9958333333333333,0.9027777777777778
55,0.06088380888104439,0.9875,0.875
56,0.041169592489798866,0.9958333333333333,0.875
57,0.038712657801806924,0.9958333333333333,0.9166666666666666
58,0.06593658262863755,0.9875,0.8888888888888888
59,0.05494310564051072,0.9875,0.9444444444444444
60,0.061971786866585415,0.9916666666666667,0.9027777777777778
61,0.04711972040434678,0.9958333333333333,0.9583333333333334
62,0.04344354327768087,0.9958333333333333,0.9027777777777778
63,0.04746471205726266,0.9875,0.9166666666666666
64,0.04290170781314373,0.9958333333333333,0.9027777777777778
65,0.05511758749683698,0.9875,0.9166666666666666
66,0.04395725233480334,0.9916666666666667,0.9166666666666666
67,0.037322877626866105,0.9916666666666667,0.8888888888888888
68,0.026372355331356328,1.0,0.9027777777777778
69,0.045048099507888156,0.9958333333333333,0.9027777777777778
70,0.0335560846918573,0.9958333333333333,0.9305555555555556
71,0.025383871669570606,1.0,0.875
72,0.033207395734886326,0.9916666666666667,0.9027777777777778
73,0.0543116873751084,0.9875,0.9166666666666666
74,0.02652753172442317,0.9958333333333333,0.9166666666666666
75,0.024609991535544395,1.0,0.8888888888888888
76,0.014640771582101782,1.0,0.9166666666666666
77,0.02333184452727437,0.9958333333333333,0.9166666666666666
78,0.033380293380469085,0.9958333333333333,0.9444444444444444
79,0.03540140843639771,0.9916666666666667,0.9027777777777778
80,0.027694510420163472,0.9958333333333333,0.9027777777777778
81,0.0205576676564912,0.9958333333333333,0.9444444444444444
82,0.03465276146307587,0.9875,0.9166666666666666
83,0.03788109729066491,0.9875,0.9027777777777778
84,0.03727622702717781,0.9916666666666667,0.9027777777777778
85,0.01777723108728727,1.0,0.875
86,0.025737775800128777,0.9958333333333333,0.9305555555555556
87,0.02496890751644969,0.9958333333333333,0.9166666666666666
88,0.049269860486189525,0.9875,0.8888888888888888
89,0.02602527110526959,0.9958333333333333,0.9027777777777778
90,0.04459274026254813,0.9916666666666667,0.8888888888888888
91,0.03313891676565011,0.9958333333333333,0.9444444444444444
92,0.021854662771026292,0.9958333333333333,0.9166666666666666
93,0.03435350243623058,0.9916666666666667,0.9305555555555556
94,0.017179913368696967,0.9958333333333333,0.875
95,0.030241603357717396,0.9958333333333333,0.9305555555555556
96,0.03485487156237165,0.9958333333333333,0.9305555555555556
97,0.020099749509245157,0.9958333333333333,0.9305555555555556
98,0.022974493680521846,0.9958333333333333,0.8472222222222222
99,0.029558271433537207,0.9916666666666667,0.9027777777777778
100,0.016638454034303626,0.9958333333333333,0.9027777777777778
